"column_name","data_type"
"ticker","text"
"trade_date","date"
"spot_close","double precision"
"total_oi","bigint"
"call_oi","bigint"
"put_oi","bigint"
"put_call_oi_ratio","double precision"
"max_oi_strike_call","double precision"
"max_oi_strike_put","double precision"
"oi_weighted_strike_call","double precision"
"oi_weighted_strike_put","double precision"
"oi_weighted_strike_all","double precision"
"oi_within_5pct","bigint"
"oi_within_10pct","bigint"
"pct_oi_in_front_expiry","double precision"
"d1_total_oi_change","bigint"
"d5_total_oi_change","bigint"
"d20_total_oi_change","bigint"
"rv_5d","double precision"
"rv_20d","double precision"
"ret_1d_fwd","double precision"
"ret_5d_fwd","double precision"
"ret_20d_fwd","double precision"
