"column_name","family","tenor","wing","form","base_column","units","description","formula"
"trade_date","meta",NULL,NULL,"level",NULL,"date","Trading date",NULL
"quote_time","meta",NULL,NULL,"level",NULL,"time","Intraday quote time (5-min bar)",NULL
"day_of_week","meta",NULL,NULL,"level",NULL,"int","0=Mon, 4=Fri",NULL
"days_to_monthly_opex","meta",NULL,NULL,"level",NULL,"int","Calendar days to next monthly OPEX (3rd Friday)",NULL
"spot","spot",NULL,NULL,"level",NULL,"price","Underlying spot from spx_atm.underlying_price",NULL
"forward_1d","forward","1d",NULL,"level",NULL,"price","ATM forward at 1-day calendar tenor","spx_atm.atm_forward where dte=1"
"forward_7d","forward","7d",NULL,"level",NULL,"price","ATM forward at 7-day calendar tenor","spx_atm.atm_forward where dte=7"
"forward_30d","forward","30d",NULL,"level",NULL,"price","ATM forward at 30-day calendar tenor","spx_atm.atm_forward where dte=30"
"forward_90d","forward","90d",NULL,"level",NULL,"price","ATM forward at 90-day calendar tenor","spx_atm.atm_forward where dte=90"
"forward_180d","forward","180d",NULL,"level",NULL,"price","ATM forward at 180-day calendar tenor","spx_atm.atm_forward where dte=180"
"iv_1d_10p","iv","1d","10p","level",NULL,"vol_decimal","Implied vol at 1d calendar tenor, 10-delta put",NULL
"iv_1d_25p","iv","1d","25p","level",NULL,"vol_decimal","Implied vol at 1d calendar tenor, 25-delta put",NULL
"iv_1d_atm","iv","1d","atm","level",NULL,"vol_decimal","Implied vol at 1d calendar tenor, at-the-money forward (k=0)",NULL
"iv_1d_25c","iv","1d","25c","level",NULL,"vol_decimal","Implied vol at 1d calendar tenor, 25-delta call",NULL
"iv_1d_10c","iv","1d","10c","level",NULL,"vol_decimal","Implied vol at 1d calendar tenor, 10-delta call",NULL
"iv_7d_10p","iv","7d","10p","level",NULL,"vol_decimal","Implied vol at 7d calendar tenor, 10-delta put",NULL
"iv_7d_25p","iv","7d","25p","level",NULL,"vol_decimal","Implied vol at 7d calendar tenor, 25-delta put",NULL
"iv_7d_atm","iv","7d","atm","level",NULL,"vol_decimal","Implied vol at 7d calendar tenor, at-the-money forward (k=0)",NULL
"iv_7d_25c","iv","7d","25c","level",NULL,"vol_decimal","Implied vol at 7d calendar tenor, 25-delta call",NULL
"iv_7d_10c","iv","7d","10c","level",NULL,"vol_decimal","Implied vol at 7d calendar tenor, 10-delta call",NULL
"iv_30d_10p","iv","30d","10p","level",NULL,"vol_decimal","Implied vol at 30d calendar tenor, 10-delta put",NULL
